ガスの燃焼に関する次の記述のうち、誤っているものはどれか。,ガスの燃焼は酸化反応であり、反応が最後まで完結しないで中間生成物(一酸化炭素、水素、アルデヒド等)が発生している状態を不完全燃焼という。,ブンゼンバーナーにおいて、ガス圧が異常に低下したり、ノズルが詰まったりしてガス量が極端に少なくなると、フラッシュバックが発生する。,機器の燃焼室内の給排気不良により二次空気が極端に減少すると、リフティングが発生する。,燃焼反応が十分な速さで進まないと、イエローチップが発生する。,メタンと空気の混合ガスの燃焼範囲は、標準状態においてメタン濃度4%から75%である。,,,,,メタンと空気の混合ガスの燃焼範囲は、標準状態においてメタン濃度4%から75%である。,"""メタンと空気の混合ガスの燃焼範囲は、標準状態においてメタン濃度5%から15%である。 
[都市ガス工業概要 (消費機器編) P9 1.10 燃焼範囲(爆発範囲)]"""
"""ガス機器の給排気に関する次の記述のうち、誤っているものはどれか。""
","燃焼排ガスの排出が自然排気、強制排気に関わらず、機器本体を屋外に設置し、屋外で給排気するよう設計された機器をRF式機器という。
","RF式機器には、浴室の壁貫通部に設置するタイプの機器がある。
","共用給排気ダクト方式のダクトは、調理機器の排気ダクトとは共用してもよいが、浴室、トイレ等の換気ダクトとは別系統にしなければならない。
","CF式機器の逆風止めの役割は、排気筒から屋外の風が逆進入してきたときに、炎が吹き消されないようにすることである。
",ガス消費量が12kWを超えるガス瞬間湯沸器を屋内に設置する工事は、「特定ガス消費機器の設置工事の監督に関する法律」によらなければならない。,,,,,"共用給排気ダクト方式のダクトは、調理機器の排気ダクトとは共用してもよいが、浴室、トイレ等の換気ダクトとは別系統にしなければならない。
",[img:/static/explain/or5/r5og25.jpg]
"""ガス機器の安全装置に関する次の記述のうち、誤っているものはどれか。""
","こんろの調理油過熱防止装置は、鍋底の温度を検知し、設定温度(約250°C)に達するとガスを遮断する。
","現在販売されている開放式ガス瞬間湯沸器の不完全燃焼防止装置は、排ガス中の一酸化炭素(CO)濃度が0.3%を超えないようにガスを遮断する。
","現在販売されているBF式ふろがまには、冠水検知装置が搭載されており、電極式やフロート式等が用いられている。
","バイメタル式の空だき安全装置では、異常温度を検知しガスを遮断する。
",フレームロッド式の立ち消え安全装置は、熱電対式よりも応答速度が早く、点火時、消火時とも3秒以内で応答する。,,,,,"現在販売されている開放式ガス瞬間湯沸器の不完全燃焼防止装置は、排ガス中の一酸化炭素(CO)濃度が0.3%を超えないようにガスを遮断する。
",[img:/static/explain/or5/r5og26.jpg]
"""ガス栓、接続具及び警報器に関する次の記述のうち、誤っているものはどれか。""
","オンオフヒューズガス栓は、つまみの開閉位置に関わらず内部のオンオフ弁が常に「全開」又は「全閉」のいずれかの状態に維持する機構を有する。
","金属可とう管は、ビルトインコンロ等の常設型ガス機器の接続に用いられる。
","現在販売されている開放式小型湯沸器は、ガスコードで接続してもよい。
","ガス警報器は、ガスの濃度が爆発下限界の１/４以上のときに確実に作動しなければならない。
",家庭用のガス警報器に使用されているガスの検出方式は、半導体式、接触燃焼式又は熱線型半導体式に大別される。,,,,,"現在販売されている開放式小型湯沸器は、ガスコードで接続してもよい。
",[img:/static/explain/or5/r5og27.jpg]
ガスの燃焼及び伝熱に関する次の記述のうち、誤っているものはどれか。,ガスの燃焼方式は、赤火燃焼式やブンゼン燃焼式等があり、ガスと空気が混合する場所や一次空気量によって大別される。,実際のガス機器では、理論空気量だけでガスを完全燃焼させることはできず、２０～４０％の過剰空気が必要である。,濃淡燃焼バーナーは、ブンゼン式バーナーとセミブンゼン式バーナーを交互に配置した構造となっている。,ブンゼン燃焼式の外炎では、内炎で発生した中間生成物が二次空気と接触することによって反応が進む。,伝熱の一形態である対流は、流体の運動により熱が移動する現象である。,,,,,濃淡燃焼バーナーは、ブンゼン式バーナーとセミブンゼン式バーナーを交互に配置した構造となっている。,[img:/static/explain/or6/r6og19.jpg]
ガスの燃焼に関する次の記述のうち、誤っているのはどれか。,ブンゼンバーナーでは、インプットの高い範囲で燃焼させて場合、一次空気量を上げるとリフティングが発生し、下げると不完全燃焼が発生するという燃焼特性を有する。,火移り不良は、一部の炎口のつまり等で炎口と炎口の間隔が開きすぎている時にも発生する場合がある。,イエローチップの炎でガス機器を使用していると、すすが熱交換器等に付着して不完全燃焼の原因となるおそれがある。,ブンゼンバーナーでは、ガスの組成変化によりウォッベ指数が小さくなると、不完全燃焼が発生するおそれがある。,ブンゼンバーナーでは、バーナー部分が高温になりそこを通る混合ガスの温度が極端に上昇すると、フラッシュバックが発生する場合がある。,,,,,ブンゼンバーナーでは、ガスの組成変化によりウォッベ指数が小さくなると、不完全燃焼が発生するおそれがある。,[img:/static/explain/or6/r6og20.jpg]
"""家庭用ガス温水機器に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　自己診断機能には、給排気通路の閉そく状態ではファンの風量が少なくなり、ファンモーターに流れる電流値が小さくなる特徴を利用する方法がある。

ロ　燃焼用の空気を屋内からとり、燃焼排ガスを排気筒で屋外に排出する方式のふろがまをBF式ふろがまという。

ハ　Q機能を搭載した瞬間湯沸器では、冷水サンドイッチ現象を緩和し、安定した湯温を得ることができる。

二　元止め式瞬間湯沸器は、湯を使用する場所に取り付けられ、湯沸器の出湯管から直接湯を使う機能である。

ホ　給湯能力が２０号の瞬間湯沸器では、１０℃から４０℃に昇温させたお湯を毎分２０L供給できる。""",イ、ハ,イ、二,ロ、二,ロ、ホ,ハ、ホ,,,,,ロ、ホ,[img:/static/explain/or6/r6og21.jpg]
家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。,こんろに装備される中火点火機能は、点火時の着衣着火火災を防止するためのものである。,オーブンは、庫内温度が調整でき、高温（２５０℃～３００℃）の熱風を循環させて、短時間に多量の調理ができる。,ファンヒーターは、転倒したり強い衝撃が加わったとき、ガスを遮断し火災を防止する転倒時安全装置を搭載している。,FF式暖房機の排気筒外れ検知装置には、微小電流導通検知の方法が用いられている。,回転式ドラム乾燥機は、乾燥センサーに接触した衣類の温度を測定して、湿り具合を判断している。,,,,,回転式ドラム乾燥機は、乾燥センサーに接触した衣類の温度を測定して、湿り具合を判断している。,[img:/static/explain/or6/r6og22.jpg]
業務用ガス機器及びコージェネレーションシステム（CGS)に関する次の記述のうち、誤っているものはどれか。,業務用厨房に設置される排気ダクト接続型の半密閉式瞬間湯沸器には、一般的に排気温度センサー、排気あふれセンサー及びCOセンサーが搭載されている。,パルス燃焼式フライヤーは浸管式の一種で、ガスの燃焼にパルス燃焼を採用しており、熱交交換器部分の面積を大幅に小さくすることができる。,遠赤外線暖房に利用される遠赤外線は、途中の空気を暖めることなく直接身体や床、壁等に浸透し暖める性質を持っている。,都市ガスを用いる代表的なCGSには、ガスエンジン式、ガスタービン式及び燃料電池式がある。,固体高分子形燃料電池（PEFC)は、作動温度が約７００℃と高く、起動や停止に対する耐久性が低いため、原則として連続運転になる。,,,,,固体高分子形燃料電池（PEFC)は、作動温度が約７００℃と高く、起動や停止に対する耐久性が低いため、原則として連続運転になる。,[img:/static/explain/or6/r6og23.jpg]
換気及び一酸化炭素（CO)に関する次の記述のうち、誤っているものはどれか。,自然換気における空気の流れを起こす力の種類には、風圧を利用したものと、空気の温度差によって生じる浮力をりようしたものとがある。,ガスこんろ上部の排気フードは、こんろ上面から１０００ｍｍ以上に設置されなければならない。,高層住宅等では、外風圧の影響により換気風量が大きく変動するため、シロッコファン等の高静圧な換気扇を使う必要がある。,自然換気回数は、一般的に次式で表される。　N=Q/V 　n:自然換気回数(回/h)   Q:自然換気量(㎥/h)   V:室の容積(㎥),都市ガスの燃焼に必要な酸素の不足等により、燃焼反応が集結しないと、反応途中の物質としてCOが発生する。,,,,,ガスこんろ上部の排気フードは、こんろ上面から１０００ｍｍ以上に設置されなければならない。,[img:/static/explain/or6/r6og24.jpg]
ガス機器の給排気に関する次の記述のうち、誤っているものはどれか。,合計インプットが６KWを超える開放型ガス機器を調理室以外の部屋に設置する場合、その部屋には機械換気を設ける必要がある。,CF式機器を設置する際、現場状況に合わせて一次排気筒及び二次排気筒ともに適切な長さに現場で加工調整する必要がある。,BF-W式機器の設置に際しては、給排気部が壁を貫通する箇所に隙間があってはならない。,FF式機器には、BF式機器と同様、外壁式、チャンバー式及びダクト式がある。,既存のBF式機器の給排気筒トップ穴を利用して、壁貫通部に設置するタイプのRF式機器がある。,,,,,CF式機器を設置する際、現場状況に合わせて一次排気筒及び二次排気筒ともに適切な長さに現場で加工調整する必要がある。,[img:/static/explain/or6/r6og25.jpg]
ガス機器の安全装置、点火装置及び制御装置に関する次の記述のうち、誤っているものはどれか。,調理油過熱防止装置は、現在販売されている２口以上の家庭用こんろの全口に搭載することが義務化されている。,不完全燃焼防止装置に使用されているCOセンサーには、固体電解質式、接触燃焼式及び半導体器がある。,温水機器の空だき安全装置には、水位スイッチ式や水流スイッチ式等がある。,瞬時点火装置では、熱電対の起電力が十分に発生するまでの間、コンデンサーの放電電流によりガス弁を開状態に保持している。,比例電磁弁は、コイルに流れる電流による電磁力により弁を制御し、連続的にガス量を調節するものである。,,,,,温水機器の空だき安全装置には、水位スイッチ式や水流スイッチ式等がある。,[img:/static/explain/or6/r6og26.jpg]
ガス栓、接続具及び警報器に関する次の記述のうち、誤っているものはどれか。,ガスソフトコードをコンセント口のガス栓に接続するためには、ガス栓用プラグを用いる。,ヒューズガス栓のヒューズボールがガスを遮断する流量を、ヒューズ作動流量といい、ヒューズガス栓本体に表示されている。,ガス小型湯沸器は、強化ｶﾞｽホースで可とう管ガス栓と接続できる。,空気より軽い都市ガスを検知するガス警報器は、ガス機器から水平距離で８ｍ以内の同一の室内に設置しなければならない。,業務用換気警報器は、人体に一酸化炭素の悪影響が及ぶおそれのある環境に達した場合にのみ警報を発するという警報ロジックを採用している。,,,,,ガスソフトコードをコンセント口のガス栓に接続するためには、ガス栓用プラグを用いる。,[img:/static/explain/or6/r6og27.jpg]
ガスの燃焼及び燃焼方式に関する次の記述のうち、誤っているものはどれか。,一般に、供給ガスの発熱量は総発熱量で表す。,混合ガスの燃焼限界は、各可燃性ガスの容積% と燃焼限界から計算で求めることができる。,空気中におけるメタンの着火温度は、プロパンの着火温度より低い。,各燃焼方式にて、二次空気の割合は大きい順に、赤火燃焼式、セミブンゼン燃焼式、ブンゼン燃焼式であり、 炎の温度は低い順に、赤火燃焼式、セミブンゼン燃焼式、ブンゼン燃焼式である。,パルス燃焼のバーナーは、燃焼室と尾管 (排気管)により構成され、コンパクトな燃焼空間で、ガスと空気の混合気を瞬時に燃焼させる。,,,,,空気中におけるメタンの着火温度は、プロパンの着火温度より低い。,[img:/static/explain/or7/r7og19.jpg]
ガス燃焼時に生じるフラッシュバックの原因に関する次の記述のうち、誤っているものはどれか。,ガス圧が異常に低下したり、ノズルや器具栓等が詰まって、ガス量が極端に少なくなる。,燃焼機器が設置されている室内の給排気が不良で、二次空気が極端に減少する。,一次空気のダンパーが開きすぎ、一次空気の吸引が多すぎて、混合ガスの燃焼速度が速くなる。,バーナー部分が高温になり、そこを通るガスの温度が上昇し、燃焼速度が速くなる。,"古いバーナーを掃除することにより、腐食された部分が落ち、炎口が大きくなる。
",,,,,燃焼機器が設置されている室内の給排気が不良で、二次空気が極端に減少する。,[img:/static/explain/or7/r7og20.jpg]
家庭用ガス温水機器に関する次の記述のうち、誤っているものはどれか。,瞬間湯沸器の給湯能力は号数で表され、1号は約1.75kWである。,BF-DP式ふろがまは、本体天板上部より給気管と排気管を別々に2本立ち上げ、給気筒トップ 排気筒トップを各々設けて接続することにより、バランス燃焼させる。,長期使用製品安全点検制度の見直しによって、現在は屋内式ガス瞬間湯沸器、屋内式ガスふろがまは、同制度の対象品目から削除されている,給湯暖房用熱源機の分類において、2缶3水の「2缶」は燃焼により直接加熱される熱交換器の数を、「3水」は回路(給湯回路、ふろ回路、暖房回路)の数を表している。,潜熱回収型給湯器(エコジョーズ)の凝縮水は、強酸性であるため、中和器で水質が改善された後排出される。,,,,,BF-DP式ふろがまは、本体天板上部より給気管と排気管を別々に2本立ち上げ、給気筒トップ 排気筒トップを各々設けて接続することにより、バランス燃焼させる。,[img:/static/explain/or7/r7og21.jpg]
家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。,こんろ、ストーブ及び回転ドラム式衣類乾燥機は、ガス用品に指定されている。,回転ドラム式衣類乾燥機は、開放式ガス機器である。,こんろの焦げ付き消火機能は、鍋が焦げ付き始めると自動消火する機能であり、調理油過熱防止装置の温度センサーが利用されている。,ファンヒーターの室温自動制御機能には、温度センサーとして主にサーミスターが使用されている。,FF暖房機では一般に、給気管は軟質塩化ビニール製、排気管はステンレス鋼板製である。,,,,,こんろ、ストーブ及び回転ドラム式衣類乾燥機は、ガス用品に指定されている。,[img:/static/explain/or7/r7og22.jpg]
業務用ガス機器、ガス冷暖房及びコージェネレーションシステム(CGS)に関する次の記述のうち、誤っているものはどれか。,業務用厨房の排気ダクト接続型半密閉式湯沸器には、防火性能評定試験基準に合格している潜熱回収型がある。,マルチ温水機は、30号から50号等の給湯器を複数台設置し、流量負荷に応じて、台数制御して大量給湯を行う。,空調用吸収冷凍機は作動媒体として、冷媒に水、吸収剤に臭化リチウム水溶液を用いている。,ガスエンジンヒートポンプ(GHP)の暖房サイクルでは、室内の熱交換器を凝縮器、室外の熱交換器を蒸発器として利用している。,ガスエンジン式CGSでは、数千kW規模の需要には対応できない。,,,,,ガスエンジン式CGSでは、数千kW規模の需要には対応できない。,[img:/static/explain/or7/r7og23.jpg]
換気に関する次の記述のうち、誤っているものはどれか。,自然換気は、自然条件を利用した非常に不安定な換気方法であるため、常時大量の熱や煙を発生するような工場では効果が出ない。,機械換気の方式のうち局所換気方式は、フードの取付け位置や形状等にある程度の制限はあるが、高濃度排気による高い換気効率が得られる。,ガス機器のガス消費量が同じ場合でも、換気扇のフード有無やフードの形状等によって、調理室の必要換気量は変わる。,換気を行うために必要な条件は、空気の排出口があること、空気の流入口があること、空気の流れを起こす力があることである。,自然換気回数は、室の容積分の空気量が1時間に何回自然に入れ替わるかを「回/h」で表したものである。,,,,,自然換気は、自然条件を利用した非常に不安定な換気方法であるため、常時大量の熱や煙を発生するような工場では効果が出ない。,[img:/static/explain/or7/r7og24.jpg]
ガス機器の給排気に関する次の記述のうち、誤っているものはどれか。,自然排気式 (CF式)機器の逆風止め(バフラー)には、排気筒の過度なドラフトによる消火や熱効率の低下を防ぐ効果もある。,自然排気式(CF式)機器の排気筒トップ及び排気筒の材料は、不燃性、耐熱性、耐食性のあるものでなければならない。,自然排気式(CF式)ふろがまの排気筒の壁貫通穴を利用して設置できるものとして、自然給排気式(BF式)のBF-DP式ふろがまがある。,強制排気式(FE式)機器を設置する室には、給気口又は開口部は不要である。,屋外式(RF式)機器は、給排気をすべて屋外で行い、室内空気を汚染させないが、建物開口部から室内へ排気ガスが流入しないこと等、設置上の留意点がある。,,,,,強制排気式(FE式)機器を設置する室には、給気口又は開口部は不要である。,[img:/static/explain/or7/r7og25.jpg]
ガス機器の安全装置及び安全機能に関する次の記述のうち、誤っているものはどれか。,ガス機器の安全装置は、安全に停止するフェイルセーフを思想として構成されている。,ガス機器の安全装置の搭載は、法令で規定されていないものもある。,不完全燃焼防止装置は、現在販売されている全ての家庭用ガス機器に搭載されている。,立ち消え安全装置には、熱電対式とフレームロッド式がある。,現在販売されている開放式小型湯沸器には、機器の使用が10万回を超えるとランプ表示等でお知らせするタイムスタンプ機能が搭載されている。,,,,,不完全燃焼防止装置は、現在販売されている全ての家庭用ガス機器に搭載されている。,[img:/static/explain/or7/r7og26.jpg]
ガス栓、接続具及び警報器に関する次の記述のうち、誤っているものはどれか。,シリンダーとヒューズボール等から構成されているガス栓のヒューズ機構では、ガス栓が誤開放されるとヒューズボール等が通過孔をふさぐことによりガスを遮断する。,ガス機器のホースエンドロに器具用スリムプラグを取りつけることで、ガスコードを使って、ガスコンセントと接続することができる。,都市ガス用のガス警報器には、一過性のガスによる警報を防止するため、一定時間連続してガスを検知した後に警報する遅延警報型がある。,家庭用のCO警報器のCOセンサーには、アルコールの影響を抑えるため活性炭フィルターが内蔵されている。,業務用換気警報器は、天井より30cm以内の高さに設置する。,,,,,業務用換気警報器は、天井より30cm以内の高さに設置する。,[img:/static/explain/or7/r7og27.jpg]
