問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解,解説
"""消費機器調査の不在時・拒否のお客さまの処理について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

お客さまが不在の場合は、お客さま敷地内へ決して（　　　）で立ち入らない。""",ガス事業法,作業方法,２回,不在連絡票,連絡方法,無断,３回,記録,点検表,無断,テスト
"""消費機器調査の不在時・拒否のお客さまの処理について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

お客さまより拒否された場合は、（　　　）で定められた調査・点検であることの趣旨をよく説明し、ご了解いただけるよう努力する。""",ガス事業法,作業方法,２回,不在連絡票,連絡方法,無断,３回,記録,点検表,ガス事業法,テスト
"""消費機器調査の不在時・拒否のお客さまの処理について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

お客さまより拒否された場合で説明しても、どうしてもご了解が得られない場合は、訪問日時、内容、拒否された旨等を明確に（　　　）しておく必要がある。""",ガス事業法,作業方法,２回,不在連絡票,連絡方法,無断,３回,記録,点検表,記録,テスト
"""消費機器調査業務の作業項目について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

保安業務規程において規定する自主保安業務の中で、特にガス小売事業者が実施することを期待される作業としては、ガス機器の（　　　）がある。""",Siセンサーコンロ,業務用換気警報器,出湯温度調整,排ガスCO濃度測定,清掃,接続具の確認,換気ステッカー,使用禁止ステッカー,供給開始時,接続具の確認,テスト
"""消費機器調査業務の作業項目について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

保安業務規程において規定する自主保安業務の中で、特にガス小売事業者が実施することを期待される作業としては、不完全燃焼防止装置なし小型湯沸器の（　　　）がある。""",Siセンサーコンロ,業務用換気警報器,出湯温度調整,排ガスCO濃度測定,清掃,接続具の確認,換気ステッカー,使用禁止ステッカー,供給開始時,排ガスCO濃度測定,テスト
"""消費機器調査業務の作業項目について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

保安業務規程において規定する自主保安業務の中で、特にガス小売事業者が実施することを期待される作業としては、業務用厨房にてガスを使用するお客さまに対する（　　　）の設置促進がある。""",Siセンサーコンロ,業務用換気警報器,出湯温度調整,排ガスCO濃度測定,清掃,接続具の確認,換気ステッカー,使用禁止ステッカー,供給開始時,業務用換気警報器,テスト
"""消費機器調査業務の作業項目について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

供給ガス種適応性調査は、（　　　）に行うことが法定作業となる。""",Siセンサーコンロ,業務用換気警報器,出湯温度調整,排ガスCO濃度測定,清掃,接続具の確認,換気ステッカー,使用禁止ステッカー,供給開始時,供給開始時,テスト
"""消費機器調査業務の作業項目について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

供給ガス種適応性調査で不適応機器発見時には、書面通知により不適応を指摘するとともに改善方法を指導し、お客さま了解の上で（　　　）を貼付する。""",Siセンサーコンロ,業務用換気警報器,出湯温度調整,排ガスCO濃度測定,清掃,接続具の確認,換気ステッカー,使用禁止ステッカー,供給開始時,使用禁止ステッカー,テスト
"""大規模災害時の復旧作業における漏えい確認の方法について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

簡易的な内管漏えい確認の方法として、メーター末端指針位置の動止を4分間監視する（　　　）がある。""",静止確認,動止確認,漏えい有り,誤作動,指差し確認,,,,,動止確認,テスト
"""大規模災害時の復旧作業における漏えい確認の方法について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

簡易的な内管漏えい確認の方法で、メーター末端指針位置の動止を4分間監視し、開始時と終了時で指針の位置が違う場合には（　　　）等と判断する。""",静止確認,動止確認,漏えい有り,誤作動,指差し確認,,,,,漏えい有り,テスト
"""周知の目的、種類及び位置付けについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

周知は、ガスの使用に伴う（　　　）の防止に関する必要な事項をガスの使用者に知らしめることである。""",個別周知,事故防止,危険の発生,内容,中毒事故等,手間,特別周知,ガス漏れ,時期,危険の発生,テスト
"""周知の目的、種類及び位置付けについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

周知の目的は、（　　　）を図ることで、ガス事業者に課せられている業務である。""",個別周知,事故防止,危険の発生,内容,中毒事故等,手間,特別周知,ガス漏れ,時期,事故防止,テスト
"""周知の目的、種類及び位置付けについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

周知は、その周知を行う（　　　）及び時期に応じて、分類される。""",個別周知,事故防止,危険の発生,内容,中毒事故等,手間,特別周知,ガス漏れ,時期,内容,テスト
"""周知の目的、種類及び位置付けについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

周知は、その周知を行う内容及び（　　　）に応じて分類される。""",個別周知,事故防止,危険の発生,内容,中毒事故等,手間,特別周知,ガス漏れ,時期,時期,テスト
"""周知の目的、種類及び位置付けについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

周知の分類は、一般周知、開栓時周知、（　　　）である。""",個別周知,事故防止,危険の発生,内容,中毒事故等,手間,特別周知,ガス漏れ,時期,個別周知,テスト
"""一般需要家周知の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して番号で答えなさい。

ガス事業者は、全てのお客さまに対して、（　　　）以上周知を実施する。""",２年に１回,１年に１回,特定多数,不測の事態,予測の事態,不特定多数,３年度に１,１月に１回,,２年に１回,テスト
"""一般需要家周知の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して番号で答えなさい。

ガス事業者は、特定地下街等、特定地下室等、超高層建物並びに特定大規模建物のお客さまに対しては、（　　　）以上、一般需要家周知と同様の目的の周知を実施する。""",２年に１回,１年に１回,特定多数,不測の事態,予測の事態,不特定多数,３年度に１,１月に１回,,１年に１回,テスト
"""一般需要家周知の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して番号で答えなさい。

特定地下街等、特定地下室等、超高層建物並びに特定大規模建物のお客さまで、自動ガス遮断装置又はガス漏れ警報器が設置されているものであって、着脱が容易なガス栓において内部に過流出安全機構を有している場合は（　　　）以上、一般需要家周知と同様の目的の周知を実施する。""",２年に１回,１年に１回,特定多数,不測の事態,予測の事態,不特定多数,３年度に１,１月に１回,,２年に１回,テスト
"""一般需要家周知の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して番号で答えなさい。

特定地下街等、特定地下室等、超高層建物並びに特定大規模建物は、（　　　）の人が利用するなど不測の事態が発生した場合の影響が大きい。""",２年に１回,１年に１回,特定多数,不測の事態,予測の事態,不特定多数,３年度に１,１月に１回,,不特定多数,テスト
"""一般需要家周知の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して番号で答えなさい。

特定地下街等、特定地下室等、超高層建物並びに特定大規模建物は、不特定多数の人が利用するなど（　　　）が発生した場合の影響が大きい。""",２年に１回,１年に１回,特定多数,不測の事態,予測の事態,不特定多数,３年度に１,１月に１回,,不測の事態,テスト
"""開栓時周知・個別周知について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して番号で答えなさい。

開栓は、お客さまとガス事業者との（　　　）のスタートである。""",使用契約,一般周知,点検業務,ガス供給・取引,お願い文,事故発生率,個別周知,安全使用上,ガス事業者独自,ガス供給・取引,テスト
"""開栓時周知・個別周知について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して番号で答えなさい。

開栓は、はじめて都市ガスをお使いいただくお客さまも多いことから、（　　　）に加え、個別周知対象機器・設備がある場合はその該当周知及びガス事業者独自の事項等を盛り込んだ内容での周知を行う。""",使用契約,一般周知,点検業務,ガス供給・取引,お願い文,事故発生率,個別周知,安全使用上,ガス事業者独自,一般周知,テスト
"""開栓時周知・個別周知について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して番号で答えなさい。

開栓は、はじめて都市ガスをお使いいただくお客さまも多いことから、一般周知に加え、個別周知対象機器・設備がある場合はその該当周知及び（　　　）の事項等を盛り込んだ内容での周知を行う。""",使用契約,一般周知,点検業務,ガス供給・取引,お願い文,事故発生率,個別周知,安全使用上,ガス事業者独自,ガス事業者独自,テスト
"""開栓時周知・個別周知について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して番号で答えなさい。

ガス事業者は、消費機器の使用に伴う（　　　）の高い消費機器を保有するお客さまに対して、開栓時および定められた頻度で排気ガスによる事故防止を目的に安全使用上に関する周知を実施する。""",使用契約,一般周知,点検業務,ガス供給・取引,お願い文,事故発生率,個別周知,安全使用上,ガス事業者独自,事故発生率,テスト
"""開栓時周知・個別周知について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して番号で答えなさい。

ガス事業者は、消費機器の使用に伴う事故発生率の高い消費機器を保有するお客さまに対して、開栓時および定められた頻度で排気ガスによる事故防止を目的に（　　　）に関する周知を実施する。""",使用契約,一般周知,点検業務,ガス供給・取引,お願い文,事故発生率,個別周知,安全使用上,ガス事業者独自,安全使用上,テスト
"""一般周知の内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

供給するガスの種類とガス機器が合っていないとき、（　　　）すること及び調整の必要性を周知する。""",紹介,換気,火気の使用,復帰操作,日常点検,周知,不完全燃焼,変形・破損,遮断装置,不完全燃焼,テスト
"""一般周知の内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス機器を安全に効率よく使用するための（　　　）、定期点検の必要性とガス警報器には有効期限があり、有効期限が過ぎる前に取り替えることを周知する。""",紹介,換気,火気の使用,復帰操作,日常点検,周知,不完全燃焼,変形・破損,遮断装置,日常点検,テスト
"""一般周知の内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス機器使用時は（　　　）に注意し、給排気設備については、異常の有無を時々点検する必要があることを周知する。""",紹介,換気,火気の使用,復帰操作,日常点検,周知,不完全燃焼,変形・破損,遮断装置,換気,テスト
"""一般周知の内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス警報器が鳴っているときやガス臭いと感じたときは、窓や扉を開け換気することやガス栓、メーターガス栓を閉め、電気のスイッチの入・切及び（　　　）を禁止し、ガス事業者へ連絡することを周知する。""",紹介,換気,火気の使用,復帰操作,日常点検,周知,不完全燃焼,変形・破損,遮断装置,火気の使用,テスト
"""一般周知の内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

地震の場合は、まず身の安全を確保し、揺れがおさまってからガスの火を消すこと。地震後、ガスを使用する場合、ガスの臭いがしないか、ガス機器の（　　　）等異常がないか、屋内外の給排気設備の確認をすることを周知する。""",紹介,換気,火気の使用,復帰操作,日常点検,周知,不完全燃焼,変形・破損,遮断装置,変形・破損,テスト
"""個別周知の内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

不完全燃焼防止機能なし開放式小型瞬間湯沸器の使用上の注意は、ホースを延長して浴槽や洗濯機への給湯、洗髪など長時間の（　　　）は行わないこと。""",連続使用,日常点検,安全管理,修理を依頼,ふさがない,排気ファン,排気ファン,ふさぐ,一酸化炭素中毒,連続使用,テスト
"""個別周知の内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

浴室内設置不完全燃焼防止機能なしＣＦ式ふろがまの換気・給気上の注意は、お風呂を沸かしている時やシャワーを使っている時は、台所や浴室内の換気扇（レンジフード）を回さない。また、給気口や換気口を（　　　）こと。""",連続使用,日常点検,安全管理,修理を依頼,ふさがない,単独使用,排気ファン,ふさぐ,一酸化炭素中毒,ふさがない,テスト
"""個別周知の内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

屋内設置不完全燃焼防止機能なしＦＥ式湯沸器の（　　　）のお願いは、電源プラグはコンセントに差し込まれているか、また、お湯を出した時に排気ファンが回転しているか確認すること。""",連続使用,日常点検,安全管理,修理を依頼,ふさがない,単独使用,排気ファン,ふさぐ,一酸化炭素中毒,日常点検,テスト
"""個別周知の内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

屋内設置不完全燃焼防止機能なしＦＥ式湯沸器の日常点検のお願いは、電源プラグはコンセントに差し込まれているか、また、お湯を出した時に（　　　）が回転しているか確認すること。""",連続使用,日常点検,安全管理,修理を依頼,ふさがない,単独使用,排気ファン,ふさぐ,一酸化炭素中毒,排気ファン,テスト
"""個別周知の内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

不完全燃焼防止機能付き開放式小型瞬間湯沸器が、使用中に火が消える、機器本体が異常に過熱しているような場合は使用を中止して（　　　）すること。""",連続使用,日常点検,安全管理,修理を依頼,ふさがない,単独使用,排気ファン,ふさぐ,一酸化炭素中毒,修理を依頼,テスト
"""個別周知の内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

金網ストーブは、燃焼部分の変形などの現象で不完全燃焼を起こし、（　　　）になるおそれがある。""",連続使用,日常点検,安全管理,修理を依頼,ふさがない,単独使用,排気ファン,ふさぐ,一酸化炭素中毒,一酸化炭素中毒,テスト
"""内管検査の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

内管のガス漏えいは、腐食・老朽等の（　　　）が原因となって引き起こされる。""",内管等,重大事故,消費機器,クレーム,経年劣化,マイコンメーター,行政指導,点検等,周知,経年劣化,テスト
"""内管検査の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

内管検査は、ガス事業法技省令第５1条規定に基づき、（　　　）のガス漏えいの有無を確認する業務である。""",内管等,重大事故,消費機器,クレーム,経年劣化,マイコンメーター,行政指導,点検等,周知,内管等,テスト
"""内管検査の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

内管検査の目的は、ガス漏えいの有無を確認して（　　　）の発生を未然に防止することにより需要家保安の確保することである。""",内管等,重大事故,消費機器,クレーム,経年劣化,マイコンメーター,行政指導,点検等,周知,重大事故,テスト
"""内管検査の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

検査対象範囲は、お客さまの資産である内管(地境部分から敷地内のガス導管)からガス栓までの部分とするが、法、（　　　）では規定されていない部分であっても、重要かつ確認可能なものについては、幅広く点検等を行い、需要家保安に努める。""",内管等,重大事故,消費機器,クレーム,経年劣化,マイコンメーター,行政指導,点検等,周知,行政指導,テスト
"""内管検査の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

検査対象範囲は、お客さまの資産である内管(地境部分から敷地内のガス導管)からガス栓までの部分とするが、法、行政指導では規定されていない部分であっても、重要かつ確認可能なものについては、幅広く（　　　）を行い、需要家保安に努める。""",内管等,重大事故,消費機器,クレーム,経年劣化,マイコンメーター,行政指導,点検等,周知,点検等,テスト
"""内管検査の要点について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

内管の漏えい検査は、一般建物では（　　　）に１回以上行う。""",４年,埋設,１年,範囲,ポリエチレン,６年,フレキ,Qmax6m³/h,Qmax16m³/h,４年,テスト
"""内管検査の要点について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

内管の漏えい検査は、特定地下街等又は特定地下室等は（　　　）に１回以上行う。""",４年,埋設,１年,範囲,ポリエチレン,６年,フレキ,Qmax6m³/h,Qmax16m³/h,１年,テスト
"""内管検査の要点について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

（　　　）管を使用している部分は、漏えい検査を省略してもよい。""",４年,埋設,１年,範囲,ポリエチレン,６年,フレキ,Qmax6m³/h,Qmax16m³/h,ポリエチレン,テスト
"""内管検査の要点について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

屋外の（　　　）されていない部分は、漏えい検査を省略してもよい。""",４年,埋設,１年,範囲,ポリエチレン,６年,フレキ,Qmax6m³/h,Qmax16m³/h,埋設,テスト
"""内管検査の要点について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

漏えい検知装置（マイコンメーター等）を設置してある場合は、漏えいを検知できる（　　　）に限り、漏えい検査を省略してもよい。""",４年,埋設,１年,範囲,ポリエチレン,６年,フレキ,Qmax6m³/h,Qmax16m³/h,範囲,テスト
"""内管検査の要点について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

漏えい検知装置（マイコンメーター等）を設置してある場合は、漏えい検査を省略できる場合があるが、内管漏えい検知警報機能がバイパス設定されたマイコンメーター、（　　　）超のマイコンメーターである場合は除かれる。""",４年,埋設,１年,範囲,ポリエチレン,６年,フレキ,Qmax6m³/h,Qmax16m³/h,Qmax16m³/h,テスト
"""灯外内管（特定地下街等、特定地下室等除く）の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

定期検査票との照合によるお客さまの確認。（　　　）がないか質問し確認。""",地盤軟弱,岩盤強固,中圧,覧表,ガス臭,記憶,図面,外壁,ハリ,ガス臭,テスト
"""灯外内管（特定地下街等、特定地下室等除く）の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

不等沈下等の有無の調査では、鉄筋コンクリート造りの重量建物が、（　　　）地域に建てられている場合特に注意する。""",地盤軟弱,岩盤強固,中圧,覧表,ガス臭,記憶,図面,外壁,ハリ,地盤軟弱,テスト
"""灯外内管（特定地下街等、特定地下室等除く）の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

（　　　）、標示杭、立管等により導管経路を目視確認する。""",地盤軟弱,岩盤強固,中圧,覧表,ガス臭,記憶,図面,外壁,ハリ,図面,テスト
"""灯外内管（特定地下街等、特定地下室等除く）の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

建物内（　　　）設備に対してガス漏れ警報器又は自動ガス遮断装置のいずれかが、設置基準に基づき有効に設置されているか目視確認する。""",地盤軟弱,岩盤強固,中圧,覧表,ガス臭,記憶,図面,外壁,ハリ,中圧,テスト
"""""灯外内管（特定地下街等、特定地下室等除く）の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

〔ガス漏れ警報器〕次の箇所を確認する。
１）（　　　）貫通部
２）中圧燃焼部
３）非溶接接合部（昭和６１年１０月以降新設）""",地盤軟弱,岩盤強固,中圧,覧表,ガス臭,記憶,図面,外壁,ハリ,外壁,テスト
"""灯外内管（特定地下街等、特定地下室等除く）の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

導管が（　　　）で堅固に固定されていること。""",点検口,超高層,中規模,支持金具,雰囲気,輝かしい光沢,著しい腐食,臭気,海岸近辺,支持金具,テスト
"""灯外内管（特定地下街等、特定地下室等除く）の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

地面の立上・立下管、余ねじ部、壁・床貫通部等で（　　　）がないこと。""",点検口,超高層,中規模,支持金具,雰囲気,輝かしい光沢,著しい腐食,臭気,海岸近辺,著しい腐食,テスト
"""灯外内管（特定地下街等、特定地下室等除く）の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

建物の床下は、（　　　）等より目視可能な部分について確認する。""",点検口,超高層,中規模,支持金具,雰囲気,輝かしい光沢,著しい腐食,臭気,海岸近辺,点検口,テスト
"""""灯外内管（特定地下街等、特定地下室等除く）の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

空気より軽いガスの場合
・ボーリング後、ガス検知器又は（　　　）による方法""",点検口,超高層,中規模,支持金具,雰囲気,輝かしい光沢,著しい腐食,臭気,海岸近辺,臭気,テスト
"""""灯外内管（特定地下街等、特定地下室等除く）の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス事業法により遮断装置設置が義務付けされている建物には次がある。
・高層建物、（　　　）建物
・特定大規模建物
・内径７０ｍｍ以上の導管でガスを供給する建物""",点検口,超高層,中規模,支持金具,雰囲気,輝かしい光沢,著しい腐食,臭気,海岸近辺,超高層,テスト
"""灯外内管（特定地下街等、特定地下室等除く）の露出部分の漏えい検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

隠ぺい部とは床下、天井裏及び（　　　）等。""",水道管等,PE管,ＦＩＤ,引込管,ガス管等,シャフト内,ガス検知器,圧力保持,発泡液,シャフト内,テスト
"""灯外内管（特定地下街等、特定地下室等除く）の露出部分の漏えい検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

露出部分の漏えい検査
ガス検知器による方法
隠ぺい部の検査は点検口等で（　　　）により行う。""",水道管等,PE管,ＦＩＤ,引込管,ガス管等,シャフト内,ガス検知器,圧力保持,発泡液,ガス検知器,テスト
"""灯外内管（特定地下街等、特定地下室等除く）の露出部分の漏えい検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

開放部
開放されている部分の（　　　）は、ガス検知器又は発泡液により行う。""",水道管等,PE管,ＦＩＤ,引込管,ガス管等,シャフト内,ガス検知器,圧力保持,発泡液,ガス管等,テスト
"""灯外内管（特定地下街等、特定地下室等除く）の露出部分の漏えい検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

開放部
開放されている部分のガス管等は、ガス検知器又は（　　　）により行う。""",水道管等,PE管,ＦＩＤ,引込管,ガス管等,シャフト内,ガス検知器,圧力保持,発泡液,発泡液,テスト
"""灯外内管（特定地下街等、特定地下室等除く）の露出部分の漏えい検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス検知器による方法の他、（　　　）による方法（遮断装置がある場合、遮断装置からメーターガス栓まで可）がある。""",水道管等,PE管,ＦＩＤ,引込管,ガス管等,シャフト内,ガス検知器,圧力保持,発泡液,圧力保持,テスト
"""灯内内管の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

灯内内管経路の確認
導管の（　　　）確認、屋内灯内内管の有無についての確認""",機能停止,外観,160m³以上,16m³以下,経路,Qmax16m³/h,義務付け,検知できる範囲,目視できる程度,経路,テスト
"""灯内内管の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

漏えい検知装置の確認
・漏えい検知装置（マイコンメーター）がついていること及び漏えい表示のないことを目視により確認する。なお、ガス事業法により使用最大流量が毎時（　　　）のガスメーターはマイコンメーターの取り付けが義務付けられている。""",機能停止,外観,160m³以上,16m³以下,経路,Qmax16m³/h,義務付け,検知できる範囲,目視できる程度,16m³以下,テスト
"""灯内内管の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

漏えい検知装置の確認
・漏えい検知装置（マイコンメーター）がついていること及び漏えい表示のないことを目視により確認する。なお、ガス事業法により使用最大流量が毎時16m³以下のガスメーターはマイコンメーターの取り付けが（　　　）られている。""",機能停止,外観,160m³以上,16m³以下,経路,Qmax16m³/h,義務付け,検知できる範囲,目視できる程度,義務付け,テスト
"""灯内内管の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

漏えい検知装置がある場合は「（　　　）以下のマイコンメーターであること。」を確認する。""",機能停止,外観,160m³以上,16m³以下,経路,Qmax16m³/h,義務付け,検知できる範囲,目視できる程度,Qmax16m³/h,テスト
"""灯内内管の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

漏えい検知装置がある場合は「内管漏えい検知警報機能が（　　　）されていないこと。」を確認する。""",機能停止,外観,160m³以上,16m³以下,経路,Qmax16m³/h,義務付け,検知できる範囲,目視できる程度,機能停止,テスト
"""""灯内内管の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

漏えい検知装置がある場合は以下を確認する。
１）Qmax16m³/h以下のマイコンメーターであること。
２）内管漏えい検知警報機能が機能停止されていないこと。
３）メーターガス栓や業務用遮断弁を日常的に閉止していないこと。
※漏えい検知装置がある場合で上記の確認事項３項目をすべて満たし、かつ漏えい表示が無い場合、漏えい検知装置で漏えいを（　　　）の検査を省略することができる。""",機能停止,外観,160m³以上,16m³以下,経路,Qmax16m³/h,義務付け,検知できる範囲,目視できる程度,検知できる範囲,テスト
"""灯内内管の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

露出部分の外観検査
露出管の（　　　）に異常がないことを確認する。""",免除,立ち上がり部,塗装,スムーズに開閉,離隔距離,外観,消費機器,ガスコード接続部,ねじニップル部,外観,テスト
"""灯内内管の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

露出部分の外観検査
メーターガス栓が（　　　）することを確認する。""",免除,立ち上がり部,塗装,スムーズに開閉,離隔距離,外観,消費機器,ガスコード接続部,ねじニップル部,スムーズに開閉,テスト
"""灯内内管の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

厨房内の水のかかりやすい配管の点検
常時水のかかるおそれのある床面からの（　　　）等、ガス管が水のかかりやすい場所に設置されている場合の当該部分の外観を点検する。""",免除,立ち上がり部,塗装,スムーズに開閉,離隔距離,外観,消費機器,ガスコード接続部,ねじニップル部,立ち上がり部,テスト
"""灯内内管の検査について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

厨房内の水のかかりやすい配管の点検
床面立ち上がり管や機器周辺などの露出した管や（　　　）などを重点的に行う。また、機器の背面や下面及び排水溝内、点検口内に配管がある場合には、必要に応じて鏡やペンライトを活用して目視点検を行う。""",免除,立ち上がり部,塗装,スムーズに開閉,離隔距離,外観,消費機器,ガスコード接続部,ねじニップル部,ねじニップル部,テスト
"""灯内内管の圧力保持による方法について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

事業所ビル、工場、学校、病院等でガスの使用範囲が広い場合は、お客さまの（　　　）を求める。ガス栓等の閉止はお客さまの了解を得て行う。""",電気スイッチ,試験口,供給圧力,可能な範囲,所定時間,圧力降下,現場の状況,立会い,火気使用,立会い,テスト
"""灯内内管の圧力保持による方法について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

水柱ゲージ等を取り付けるガス栓が無い場合は、ガスメーターの（　　　）等にガス栓を取り付ける。""",電気スイッチ,試験口,供給圧力,可能な範囲,所定時間,圧力降下,現場の状況,立会い,火気使用,試験口,テスト
"""灯内内管の圧力保持による方法について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

検査圧力は（　　　）とする。""",電気スイッチ,試験口,供給圧力,可能な範囲,所定時間,圧力降下,現場の状況,立会い,火気使用,供給圧力,テスト
"""灯内内管の圧力保持による方法について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

漏えいの有無の確認は、（　　　）の有無により行う。""",電気スイッチ,試験口,供給圧力,可能な範囲,所定時間,圧力降下,現場の状況,立会い,火気使用,圧力降下,テスト
"""灯内内管の圧力保持による方法について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス漏れが認められた場合は次の措置を行う。ガス漏れの程度や漏れ箇所など（　　　）を把握する。""",電気スイッチ,試験口,供給圧力,可能な範囲,所定時間,圧力降下,現場の状況,立会い,火気使用,現場の状況,テスト
"""灯内内管の圧力保持による方法について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス漏れが認められた場合は次の措置を行う。メーターガス栓の閉止等や応急措置など（　　　）で実施する。""",電気スイッチ,試験口,供給圧力,可能な範囲,所定時間,圧力降下,現場の状況,立会い,火気使用,可能な範囲,テスト
"""灯内内管の圧力保持による方法について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス漏れが認められた場合は次の措置を行う。お客さまへ（　　　）禁止の注意喚起を行う。""",電気スイッチ,試験口,供給圧力,可能な範囲,所定時間,圧力降下,現場の状況,立会い,火気使用,火気使用,テスト
